Year,State,Economic activity,Economic Units,Number of workers,Investing (Millions of Pesos),Gross Production (Millions of Pesos)
2014,Total Nacional,Total nacional,4230745,21576358,"$550,860.80","$13,984,313.22"
2014,Total Nacional,71329 Loterías y otros juegos de azar,5149,41680,$554.40,"$22,208.50"
2014,Total Nacional,713291 Venta de billetes de lotería pronósticos deportivos y otros boletos de sorteo,4743,13005,-$6.75,"$6,655.17"
2014,Total Nacional,713299 Otros juegos de azar,406,28675,$561.15,"$15,553.33"
2014,Aguascalientes,Total estatal,47449,269467,"$9,697.63","$183,482.87"
2014,Aguascalientes,71329 Loterías y otros juegos de azar,40,213,$0.67,$92.21
2014,Baja California,Total estatal,95882,786056,"$7,261.80","$303,152.52"
2014,Baja California,71329 Loterías y otros juegos de azar,107,3061,$33.28,"$1,930.13"
2014,Baja California,713291 Venta de billetes de lotería pronósticos deportivos y otros boletos de sorteo,68,704,$0.32,$112.63
2014,Baja California,713299 Otros juegos de azar,39,2357,$32.96,"$1,817.51"
2014,Baja California Sur,Total estatal,28114,156985,"$2,693.78","$51,827.98"
2014,Baja California Sur,71329 Loterías y otros juegos de azar,51,632,$13.13,$284.06
2014,Baja California Sur,713291 Venta de billetes de lotería pronósticos deportivos y otros boletos de sorteo,44,126,$0.05,$58.62
2014,Baja California Sur,713299 Otros juegos de azar,7,506,$13.08,$225.44
2014,Campeche,Total estatal,32628,187384,"$91,532.46","$648,033.01"
2014,Campeche,71329 Loterías y otros juegos de azar,99,602,$3.61,$261.31
2014,Campeche,713291 Venta de billetes de lotería pronósticos deportivos y otros boletos de sorteo,93,146,$0.02,$21.95
2014,Campeche,713299 Otros juegos de azar,6,456,$3.59,$239.37
2014,Coahuila de Zaragoza,Total estatal,83639,718386,"$20,187.68","$633,956.40"
2014,Coahuila de Zaragoza,71329 Loterías y otros juegos de azar,151,409,$0.22,$167.77
2014,Coahuila de Zaragoza,713291 Venta de billetes de lotería pronósticos deportivos y otros boletos de sorteo,147,373,$0.22,$166.26
2014,Coahuila de Zaragoza,713299 Otros juegos de azar,4,36,$0.00,$1.51
2014,Colima,Total estatal,29273,138264,"$3,259.07","$40,858.59"
2014,Colima,71329 Loterías y otros juegos de azar,43,395,$0.45,$248.78
2014,Colima,713291 Venta de billetes de lotería pronósticos deportivos y otros boletos de sorteo,37,97,$0.13,$80.04
2014,Colima,713299 Otros juegos de azar,6,298,$0.32,$168.75
2014,Chiapas,Total estatal,155280,456013,"$20,901.18","$157,603.81"
2014,Chiapas,71329 Loterías y otros juegos de azar,111,339,$0.06,$95.01
2014,Chiapas,713291 Venta de billetes de lotería pronósticos deportivos y otros boletos de sorteo,106,255,-$0.01,$69.39
2014,Chiapas,713299 Otros juegos de azar,5,84,$0.06,$25.63
2014,Chihuahua,Total estatal,97044,803175,"$9,834.46","$320,011.90"
2014,Chihuahua,71329 Loterías y otros juegos de azar,344,2012,$102.64,$913.76
2014,Chihuahua,713291 Venta de billetes de lotería pronósticos deportivos y otros boletos de sorteo,326,619,$0.64,$196.68
2014,Chihuahua,713299 Otros juegos de azar,18,1393,$102.00,$717.08
2014,Distrito Federal,Total estatal,415481,3603572,"$104,578.41","$2,943,782.84"
2014,Distrito Federal,71329 Loterías y otros juegos de azar,794,9194,$143.88,"$6,766.55"
